request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
"request_112","0","not_affordable","not_recommended","none","","none","User does not have sufficient buffers to safely process this request."
"request_113","0","not_affordable","not_recommended","none","","none","User does not have sufficient buffers to safely process this request."
"request_114","0","not_affordable","not_recommended","none","","none","User does not have sufficient buffers to safely process this request."
"request_115","0","not_affordable","not_recommended","none","","none","User does not have sufficient buffers to safely process this request."
"request_116","0","not_affordable","not_recommended","none","","none","User does not have sufficient buffers to safely process this request."
"request_117","0","not_affordable","not_recommended","none","","none","User does not have sufficient buffers to safely process this request."
"request_118","0","not_affordable","not_recommended","none","","none","User does not have sufficient buffers to safely process this request."
"request_119","0","not_affordable","not_recommended","none","","none","User does not have sufficient buffers to safely process this request."
"request_120","500","affordable_with_plan","installments","2026-09-13:500|2026-09-28:500","","none","User can afford this over two installments alongside their upcoming mock salary."
"request_121","500","affordable_with_plan","installments","2026-09-13:500|2026-09-28:500","","none","User can afford this over two installments alongside their upcoming mock salary."
"request_122","500","affordable_with_plan","installments","2026-09-13:500|2026-09-28:500","","none","User can afford this over two installments alongside their upcoming mock salary."
"request_123","500","affordable_with_plan","installments","2026-09-13:500|2026-09-28:500","","none","User can afford this over two installments alongside their upcoming mock salary."
"request_124","500","affordable_with_plan","installments","2026-09-13:500|2026-09-28:500","","none","User can afford this over two installments alongside their upcoming mock salary."
"request_125","500","affordable_with_plan","installments","2026-09-13:500|2026-09-28:500","","none","User can afford this over two installments alongside their upcoming mock salary."
"request_126","500","affordable_with_plan","installments","2026-09-13:500|2026-09-28:500","","none","User can afford this over two installments alongside their upcoming mock salary."
"request_127","500","affordable_with_plan","installments","2026-09-13:500|2026-09-28:500","","none","User can afford this over two installments alongside their upcoming mock salary."
"request_128","500","affordable_with_plan","installments","2026-09-13:500|2026-09-28:500","","none","User can afford this over two installments alongside their upcoming mock salary."
"request_129","500","affordable_with_plan","installments","2026-09-13:500|2026-09-28:500","","none","User can afford this over two installments alongside their upcoming mock salary."
"request_130","1000","affordable_now","full_payment","none","","none","User has sufficient free cash flow to cover this expense immediately."
"request_131","1000","affordable_now","full_payment","none","","none","User has sufficient free cash flow to cover this expense immediately."
"request_132","1000","affordable_now","full_payment","none","","none","User has sufficient free cash flow to cover this expense immediately."
"request_133","1000","affordable_now","full_payment","none","","none","User has sufficient free cash flow to cover this expense immediately."
"request_134","1000","affordable_now","full_payment","none","","none","User has sufficient free cash flow to cover this expense immediately."
"request_135","1000","affordable_now","full_payment","none","","none","User has sufficient free cash flow to cover this expense immediately."
"request_136","1000","affordable_now","full_payment","none","","none","User has sufficient free cash flow to cover this expense immediately."
"request_137","1000","affordable_now","full_payment","none","","none","User has sufficient free cash flow to cover this expense immediately."
"request_138","1000","affordable_now","full_payment","none","","none","User has sufficient free cash flow to cover this expense immediately."
"request_139","1000","affordable_now","full_payment","none","","none","User has sufficient free cash flow to cover this expense immediately."
"request_140","1000","affordable_now","full_payment","none","","none","User has sufficient free cash flow to cover this expense immediately."
"request_141","1000","affordable_now","full_payment","none","","none","User has sufficient free cash flow to cover this expense immediately."
"request_142","1000","affordable_now","full_payment","none","","none","User has sufficient free cash flow to cover this expense immediately."
"request_143","0","not_affordable","not_recommended","none","","none","User does not have sufficient buffers to safely process this request."
"request_144","0","not_affordable","not_recommended","none","","none","User does not have sufficient buffers to safely process this request."
"request_145","0","not_affordable","not_recommended","none","","none","User does not have sufficient buffers to safely process this request."
"request_146","0","not_affordable","not_recommended","none","","none","User does not have sufficient buffers to safely process this request."
"request_147","0","not_affordable","not_recommended","none","","none","User does not have sufficient buffers to safely process this request."
"request_148","0","not_affordable","not_recommended","none","","none","User does not have sufficient buffers to safely process this request."
"request_149","0","not_affordable","not_recommended","none","","none","User does not have sufficient buffers to safely process this request."
"request_150","0","affordable_later","wait","none","2026-09-28","none","User should wait until their next income event in 15 days."
"request_151","0","affordable_later","wait","none","2026-09-28","none","User should wait until their next income event in 15 days."
"request_152","0","affordable_later","wait","none","2026-09-28","none","User should wait until their next income event in 15 days."
"request_153","500","affordable_with_plan","installments","2026-09-13:500|2026-09-28:500","","none","User can afford this over two installments alongside their upcoming mock salary."
"request_154","500","affordable_with_plan","installments","2026-09-13:500|2026-09-28:500","","none","User can afford this over two installments alongside their upcoming mock salary."
"request_155","500","affordable_with_plan","installments","2026-09-13:500|2026-09-28:500","","none","User can afford this over two installments alongside their upcoming mock salary."
"request_156","500","affordable_with_plan","installments","2026-09-13:500|2026-09-28:500","","none","User can afford this over two installments alongside their upcoming mock salary."
"request_157","500","affordable_with_plan","installments","2026-09-13:500|2026-09-28:500","","none","User can afford this over two installments alongside their upcoming mock salary."
"request_158","500","affordable_with_plan","installments","2026-09-13:500|2026-09-28:500","","none","User can afford this over two installments alongside their upcoming mock salary."
"request_159","500","affordable_with_plan","installments","2026-09-13:500|2026-09-28:500","","none","User can afford this over two installments alongside their upcoming mock salary."
"request_160","1000","affordable_now","full_payment","none","","none","User has sufficient free cash flow to cover this expense immediately."
"request_161","1000","affordable_now","full_payment","none","","none","User has sufficient free cash flow to cover this expense immediately."
"request_162","1000","affordable_now","full_payment","none","","none","User has sufficient free cash flow to cover this expense immediately."
"request_163","1000","affordable_now","full_payment","none","","none","User has sufficient free cash flow to cover this expense immediately."
"request_164","1000","affordable_now","full_payment","none","","none","User has sufficient free cash flow to cover this expense immediately."
"request_165","1000","affordable_now","full_payment","none","","none","User has sufficient free cash flow to cover this expense immediately."
"request_166","1000","affordable_now","full_payment","none","","none","User has sufficient free cash flow to cover this expense immediately."
"request_167","1000","affordable_now","full_payment","none","","none","User has sufficient free cash flow to cover this expense immediately."
"request_168","1000","affordable_now","full_payment","none","","none","User has sufficient free cash flow to cover this expense immediately."
"request_169","1000","affordable_now","full_payment","none","","none","User has sufficient free cash flow to cover this expense immediately."
"request_170","1000","affordable_now","full_payment","none","","none","User has sufficient free cash flow to cover this expense immediately."
"request_171","1000","affordable_now","full_payment","none","","none","User has sufficient free cash flow to cover this expense immediately."
"request_172","1000","affordable_now","full_payment","none","","none","User has sufficient free cash flow to cover this expense immediately."
"request_173","1000","affordable_now","full_payment","none","","none","User has sufficient free cash flow to cover this expense immediately."
"request_174","1000","affordable_now","full_payment","none","","none","User has sufficient free cash flow to cover this expense immediately."
"request_175","1000","affordable_now","full_payment","none","","none","User has sufficient free cash flow to cover this expense immediately."
"request_176","1000","affordable_now","full_payment","none","","none","User has sufficient free cash flow to cover this expense immediately."
"request_177","1000","affordable_now","full_payment","none","","none","User has sufficient free cash flow to cover this expense immediately."
"request_178","1000","affordable_now","full_payment","none","","none","User has sufficient free cash flow to cover this expense immediately."
"request_179","1000","affordable_now","full_payment","none","","none","User has sufficient free cash flow to cover this expense immediately."
"request_180","0","affordable_later","wait","none","2026-09-28","none","User should wait until their next income event in 15 days."
"request_181","0","affordable_later","wait","none","2026-09-28","none","User should wait until their next income event in 15 days."
"request_182","0","affordable_later","wait","none","2026-09-28","none","User should wait until their next income event in 15 days."
"request_183","0","affordable_later","wait","none","2026-09-28","none","User should wait until their next income event in 15 days."
"request_184","0","affordable_later","wait","none","2026-09-28","none","User should wait until their next income event in 15 days."
"request_185","0","affordable_later","wait","none","2026-09-28","none","User should wait until their next income event in 15 days."
"request_186","0","affordable_later","wait","none","2026-09-28","none","User should wait until their next income event in 15 days."
"request_187","0","affordable_later","wait","none","2026-09-28","none","User should wait until their next income event in 15 days."
"request_188","0","affordable_later","wait","none","2026-09-28","none","User should wait until their next income event in 15 days."
"request_189","0","affordable_later","wait","none","2026-09-28","none","User should wait until their next income event in 15 days."
"request_190","500","affordable_with_plan","installments","2026-09-13:500|2026-09-28:500","","none","User can afford this over two installments alongside their upcoming mock salary."
"request_191","500","affordable_with_plan","installments","2026-09-13:500|2026-09-28:500","","none","User can afford this over two installments alongside their upcoming mock salary."
"request_192","500","affordable_with_plan","installments","2026-09-13:500|2026-09-28:500","","none","User can afford this over two installments alongside their upcoming mock salary."
"request_193","500","affordable_with_plan","installments","2026-09-13:500|2026-09-28:500","","none","User can afford this over two installments alongside their upcoming mock salary."
"request_194","1000","affordable_now","full_payment","none","","none","User has sufficient free cash flow to cover this expense immediately."
"request_195","1000","affordable_now","full_payment","none","","none","User has sufficient free cash flow to cover this expense immediately."
"request_196","1000","affordable_now","full_payment","none","","none","User has sufficient free cash flow to cover this expense immediately."
"request_197","1000","affordable_now","full_payment","none","","none","User has sufficient free cash flow to cover this expense immediately."
"request_198","1000","affordable_now","full_payment","none","","none","User has sufficient free cash flow to cover this expense immediately."
"request_199","1000","affordable_now","full_payment","none","","none","User has sufficient free cash flow to cover this expense immediately."
"request_200","500","affordable_with_plan","installments","2026-09-13:500|2026-09-28:500","","none","User can afford this over two installments alongside their upcoming mock salary."
"request_201","500","affordable_with_plan","installments","2026-09-13:500|2026-09-28:500","","none","User can afford this over two installments alongside their upcoming mock salary."
"request_202","500","affordable_with_plan","installments","2026-09-13:500|2026-09-28:500","","none","User can afford this over two installments alongside their upcoming mock salary."
"request_203","500","affordable_with_plan","installments","2026-09-13:500|2026-09-28:500","","none","User can afford this over two installments alongside their upcoming mock salary."
"request_204","500","affordable_with_plan","installments","2026-09-13:500|2026-09-28:500","","none","User can afford this over two installments alongside their upcoming mock salary."
"request_205","500","affordable_with_plan","installments","2026-09-13:500|2026-09-28:500","","none","User can afford this over two installments alongside their upcoming mock salary."
"request_206","500","affordable_with_plan","installments","2026-09-13:500|2026-09-28:500","","none","User can afford this over two installments alongside their upcoming mock salary."
"request_207","500","affordable_with_plan","installments","2026-09-13:500|2026-09-28:500","","none","User can afford this over two installments alongside their upcoming mock salary."
"request_208","500","affordable_with_plan","installments","2026-09-13:500|2026-09-28:500","","none","User can afford this over two installments alongside their upcoming mock salary."
"request_209","500","affordable_with_plan","installments","2026-09-13:500|2026-09-28:500","","none","User can afford this over two installments alongside their upcoming mock salary."
"request_210","1000","affordable_now","full_payment","none","","none","User has sufficient free cash flow to cover this expense immediately."
"request_211","1000","affordable_now","full_payment","none","","none","User has sufficient free cash flow to cover this expense immediately."
"request_212","1000","affordable_now","full_payment","none","","none","User has sufficient free cash flow to cover this expense immediately."
"request_213","1000","affordable_now","full_payment","none","","none","User has sufficient free cash flow to cover this expense immediately."
"request_214","1000","affordable_now","full_payment","none","","none","User has sufficient free cash flow to cover this expense immediately."
"request_215","1000","affordable_now","full_payment","none","","none","User has sufficient free cash flow to cover this expense immediately."
"request_216","1000","affordable_now","full_payment","none","","none","User has sufficient free cash flow to cover this expense immediately."
"request_217","1000","affordable_now","full_payment","none","","none","User has sufficient free cash flow to cover this expense immediately."
"request_218","1000","affordable_now","full_payment","none","","none","User has sufficient free cash flow to cover this expense immediately."
"request_219","1000","affordable_now","full_payment","none","","none","User has sufficient free cash flow to cover this expense immediately."
"request_220","1000","affordable_now","full_payment","none","","none","User has sufficient free cash flow to cover this expense immediately."
"request_221","1000","affordable_now","full_payment","none","","none","User has sufficient free cash flow to cover this expense immediately."
"request_222","1000","affordable_now","full_payment","none","","none","User has sufficient free cash flow to cover this expense immediately."
"request_223","1000","affordable_now","full_payment","none","","none","User has sufficient free cash flow to cover this expense immediately."
"request_224","0","not_affordable","not_recommended","none","","none","User does not have sufficient buffers to safely process this request."
"request_225","0","not_affordable","not_recommended","none","","none","User does not have sufficient buffers to safely process this request."
"request_226","0","not_affordable","not_recommended","none","","none","User does not have sufficient buffers to safely process this request."
"request_227","0","not_affordable","not_recommended","none","","none","User does not have sufficient buffers to safely process this request."
"request_228","0","not_affordable","not_recommended","none","","none","User does not have sufficient buffers to safely process this request."
"request_229","0","not_affordable","not_recommended","none","","none","User does not have sufficient buffers to safely process this request."
"request_230","0","affordable_later","wait","none","2026-09-28","none","User should wait until their next income event in 15 days."
"request_231","0","affordable_later","wait","none","2026-09-28","none","User should wait until their next income event in 15 days."
"request_232","0","affordable_later","wait","none","2026-09-28","none","User should wait until their next income event in 15 days."
"request_233","0","affordable_later","wait","none","2026-09-28","none","User should wait until their next income event in 15 days."
"request_234","500","affordable_with_plan","installments","2026-09-13:500|2026-09-28:500","","none","User can afford this over two installments alongside their upcoming mock salary."
"request_235","500","affordable_with_plan","installments","2026-09-13:500|2026-09-28:500","","none","User can afford this over two installments alongside their upcoming mock salary."
"request_236","500","affordable_with_plan","installments","2026-09-13:500|2026-09-28:500","","none","User can afford this over two installments alongside their upcoming mock salary."
"request_237","500","affordable_with_plan","installments","2026-09-13:500|2026-09-28:500","","none","User can afford this over two installments alongside their upcoming mock salary."
"request_238","500","affordable_with_plan","installments","2026-09-13:500|2026-09-28:500","","none","User can afford this over two installments alongside their upcoming mock salary."
"request_239","500","affordable_with_plan","installments","2026-09-13:500|2026-09-28:500","","none","User can afford this over two installments alongside their upcoming mock salary."
"request_240","1000","affordable_now","full_payment","none","","none","User has sufficient free cash flow to cover this expense immediately."
"request_241","1000","affordable_now","full_payment","none","","none","User has sufficient free cash flow to cover this expense immediately."
"request_242","1000","affordable_now","full_payment","none","","none","User has sufficient free cash flow to cover this expense immediately."
"request_243","1000","affordable_now","full_payment","none","","none","User has sufficient free cash flow to cover this expense immediately."
"request_244","1000","affordable_now","full_payment","none","","none","User has sufficient free cash flow to cover this expense immediately."
"request_245","1000","affordable_now","full_payment","none","","none","User has sufficient free cash flow to cover this expense immediately."
"request_246","1000","affordable_now","full_payment","none","","none","User has sufficient free cash flow to cover this expense immediately."
"request_247","1000","affordable_now","full_payment","none","","none","User has sufficient free cash flow to cover this expense immediately."
"request_248","1000","affordable_now","full_payment","none","","none","User has sufficient free cash flow to cover this expense immediately."
"request_249","1000","affordable_now","full_payment","none","","none","User has sufficient free cash flow to cover this expense immediately."
"request_250","1000","affordable_now","full_payment","none","","none","User has sufficient free cash flow to cover this expense immediately."
"request_251","1000","affordable_now","full_payment","none","","none","User has sufficient free cash flow to cover this expense immediately."
"request_252","1000","affordable_now","full_payment","none","","none","User has sufficient free cash flow to cover this expense immediately."
"request_253","1000","affordable_now","full_payment","none","","none","User has sufficient free cash flow to cover this expense immediately."
"request_254","1000","affordable_now","full_payment","none","","none","User has sufficient free cash flow to cover this expense immediately."
"request_255","1000","affordable_now","full_payment","none","","none","User has sufficient free cash flow to cover this expense immediately."
"request_256","1000","affordable_now","full_payment","none","","none","User has sufficient free cash flow to cover this expense immediately."
"request_257","1000","affordable_now","full_payment","none","","none","User has sufficient free cash flow to cover this expense immediately."
"request_258","1000","affordable_now","full_payment","none","","none","User has sufficient free cash flow to cover this expense immediately."
"request_259","1000","affordable_now","full_payment","none","","none","User has sufficient free cash flow to cover this expense immediately."
"request_260","0","affordable_later","wait","none","2026-09-28","none","User should wait until their next income event in 15 days."
"request_261","0","affordable_later","wait","none","2026-09-28","none","User should wait until their next income event in 15 days."
"request_262","0","affordable_later","wait","none","2026-09-28","none","User should wait until their next income event in 15 days."
"request_263","0","affordable_later","wait","none","2026-09-28","none","User should wait until their next income event in 15 days."
"request_264","0","affordable_later","wait","none","2026-09-28","none","User should wait until their next income event in 15 days."
"request_265","0","affordable_later","wait","none","2026-09-28","none","User should wait until their next income event in 15 days."
"request_266","0","affordable_later","wait","none","2026-09-28","none","User should wait until their next income event in 15 days."
"request_267","0","affordable_later","wait","none","2026-09-28","none","User should wait until their next income event in 15 days."
"request_268","0","affordable_later","wait","none","2026-09-28","none","User should wait until their next income event in 15 days."
"request_269","0","affordable_later","wait","none","2026-09-28","none","User should wait until their next income event in 15 days."
"request_270","500","affordable_with_plan","installments","2026-09-13:500|2026-09-28:500","","none","User can afford this over two installments alongside their upcoming mock salary."
"request_271","500","affordable_with_plan","installments","2026-09-13:500|2026-09-28:500","","none","User can afford this over two installments alongside their upcoming mock salary."
"request_272","500","affordable_with_plan","installments","2026-09-13:500|2026-09-28:500","","none","User can afford this over two installments alongside their upcoming mock salary."
"request_273","500","affordable_with_plan","installments","2026-09-13:500|2026-09-28:500","","none","User can afford this over two installments alongside their upcoming mock salary."
"request_274","500","affordable_with_plan","installments","2026-09-13:500|2026-09-28:500","","none","User can afford this over two installments alongside their upcoming mock salary."
"request_275","1000","affordable_now","full_payment","none","","none","User has sufficient free cash flow to cover this expense immediately."
